sample	group	bam
CAM016046	g1	bams/CAM016046.lativitta.Herato0204.rmd.bam
CAM016048	g1	bams/CAM016048.lativitta.Herato0204.rmd.bam
CAM016525	g1	bams/CAM016525.lativitta.Herato0204.rmd.bam
CAM016553	g1	bams/CAM016553.lativitta.Herato0204.rmd.bam
CAM016554	g1	bams/CAM016554.lativitta.Herato0204.rmd.bam
CAM016555	g1	bams/CAM016555.lativitta.Herato0204.rmd.bam
CAM016556	g1	bams/CAM016556.lativitta.Herato0204.rmd.bam
CAM016558	g1	bams/CAM016558.lativitta.Herato0204.rmd.bam
CAM016561	g1	bams/CAM016561.lativitta.Herato0204.rmd.bam
CAM016563	g1	bams/CAM016563.lativitta.Herato0204.rmd.bam
CAM016565	g1	bams/CAM016565.lativitta.Herato0204.rmd.bam
CAM016702	g1	bams/CAM016702.lativitta.Herato0204.rmd.bam
CAM016703	g1	bams/CAM016703.lativitta.Herato0204.rmd.bam
CAM016704	g1	bams/CAM016704.lativitta.Herato0204.rmd.bam
CAM016705	g1	bams/CAM016705.lativitta.Herato0204.rmd.bam
CAM016706	g1	bams/CAM016706.lativitta.Herato0204.rmd.bam
CAM016707	g1	bams/CAM016707.lativitta.Herato0204.rmd.bam
CAM016709	g2	bams/CAM016709.lativitta.Herato0204.rmd.bam
CAM016710	g2	bams/CAM016710.lativitta.Herato0204.rmd.bam
CAM016712	g2	bams/CAM016712.lativitta.Herato0204.rmd.bam
CAM016713	g2	bams/CAM016713.lativitta.Herato0204.rmd.bam
CAM016872	g2	bams/CAM016872.lativitta.Herato0204.rmd.bam
CAM016873	g2	bams/CAM016873.lativitta.Herato0204.rmd.bam
CAM016875	g2	bams/CAM016875.lativitta.Herato0204.rmd.bam
CAM016876	g2	bams/CAM016876.lativitta.Herato0204.rmd.bam
CAM016877	g2	bams/CAM016877.lativitta.Herato0204.rmd.bam
CAM016881	g2	bams/CAM016881.lativitta.Herato0204.rmd.bam
CAM016882	g2	bams/CAM016882.lativitta.Herato0204.rmd.bam
CAM016883	g2	bams/CAM016883.lativitta.Herato0204.rmd.bam
CAM017395	g2	bams/CAM017395.lativitta.Herato0204.rmd.bam
CAM017396	g2	bams/CAM017396.lativitta.Herato0204.rmd.bam
CAM017397	g2	bams/CAM017397.lativitta.Herato0204.rmd.bam
CAM017399	g2	bams/CAM017399.lativitta.Herato0204.rmd.bam
CAM017413	g2	bams/CAM017413.lativitta.Herato0204.rmd.bam
CAM017414	g2	bams/CAM017414.lativitta.Herato0204.rmd.bam
CAM017415	g2	bams/CAM017415.lativitta.Herato0204.rmd.bam
CAM017416	g2	bams/CAM017416.lativitta.Herato0204.rmd.bam
